Name,Score,Genres,Type,Episodes,Premiered,Studios,Rating,Members,Favorites
Druaga no Tou: The Aegis of Uruk,7.19,"Adventure, Comedy, Fantasy",TV,12,Spring 2008,Gonzo,PG-13 - Teens 13 or older,104286,221
Gunslinger Girl: Il Teatrino,7.16,"Action, Drama, Military, Sci-Fi",TV,13,Winter 2008,Artland,R - 17+ (violence & profanity),53748,123
Elec-king The Animation,Unknown,"Comedy, Seinen",TV,13,Fall 2007,Unknown,G - All Ages,220,0
Lemon Angel (1988),5.81,Ecchi,TV,9,Winter 1988,Unknown,R+ - Mild Nudity,1338,1
Lemon Angel (1988/II),5.81,Ecchi,TV,8,Summer 1988,Unknown,R+ - Mild Nudity,1063,0
IGPX: Immortal Grand Prix (2005),7.12,"Drama, Mecha, Sci-Fi, Shounen, Sports",TV,13,Fall 2005,Production I.G,PG-13 - Teens 13 or older,16804,77
Bakutou Sengen Daigunder,6.67,"Sci-Fi, Adventure, Mecha",TV,39,Spring 2002,Nippon Animation,PG - Children,2290,12
Kinnikuman,7.22,"Adventure, Comedy, Sports, Shounen",TV,137,Spring 1983,Toei Animation,PG-13 - Teens 13 or older,8498,61
Kinnikuman: Kinnikusei Oui Soudatsu-hen,6.71,"Action, Comedy, Sports, Shounen",TV,46,Fall 1991,Toei Animation,PG-13 - Teens 13 or older,2099,10
Himitsu no Akko-chan,6.3,"Magic, School, Shoujo",TV,94,Winter 1969,Toei Animation,G - All Ages,2176,5
Gasshin Sentai Mechander Robo,5.88,"Space, Mecha, Military, Mystery, Sci-Fi",TV,35,Spring 1977,Unknown,PG-13 - Teens 13 or older,669,3
Yatterman,6.6,"Adventure, Comedy, Parody",TV,60,Winter 2008,Tatsunoko Production,G - All Ages,3643,7
Aria the Origination,8.53,"Sci-Fi, Slice of Life, Fantasy, Shounen",TV,13,Winter 2008,Hal Film Maker,G - All Ages,98196,3612
Hatenkou Yuugi,7.16,"Adventure, Comedy, Drama, Romance, Fantasy, Josei",TV,10,Winter 2008,Studio Deen,PG-13 - Teens 13 or older,33810,192
H2O: Footprints in the Sand,7.06,"Harem, Romance, School",TV,12,Winter 2008,Zexcs,PG-13 - Teens 13 or older,85935,421
Muteki Koujin Daitarn 3,7.08,"Mecha, Sci-Fi",TV,40,Summer 1978,Sunrise,PG - Children,2615,10
Dr. Slump,7,"Slice of Life, Comedy, Sci-Fi, Shounen",TV,74,Fall 1997,Toei Animation,PG-13 - Teens 13 or older,14465,51
Montana Jones,6.91,"Adventure, Mystery, Comedy, Historical",TV,52,Spring 1994,Studio Junio,G - All Ages,1461,5
Kikou Keisatsu Metal Jack,6.28,"Action, Sci-Fi, Police, Mecha",TV,37,Spring 1991,Sunrise,PG-13 - Teens 13 or older,877,1
Uchuusen Sagittarius,6.8,"Sci-Fi, Adventure",TV,77,Winter 1986,Nippon Animation,PG - Children,957,7
Wagaya no Oinari-sama.,7.22,"Adventure, Fantasy, Shounen, Supernatural",TV,24,Spring 2008,Zexcs,PG-13 - Teens 13 or older,29122,84
Yuusha Exkaiser,6.53,"Action, Mecha, Sci-Fi, Shounen",TV,48,Winter 1990,Sunrise,G - All Ages,1718,8
Giant Gorg,7.12,"Action, Adventure, Mecha, Sci-Fi",TV,26,Spring 1984,Sunrise,PG-13 - Teens 13 or older,4143,23
Stop!! Hibari-kun!,7,"Comedy, Shounen",TV,35,Spring 1983,Toei Animation,R+ - Mild Nudity,5353,29
Haikara-san ga Tooru,7.16,"Drama, Historical, Romance, Shoujo, Slice of Life",TV,42,Summer 1978,Nippon Animation,PG-13 - Teens 13 or older,4091,11
Mnemosyne: Mnemosyne no Musume-tachi,7.32,"Action, Horror, Sci-Fi, Shoujo Ai, Supernatural",TV,6,Winter 2008,Xebec,R+ - Mild Nudity,152677,1036
Mikan Enikki,7.19,"Slice of Life, Comedy, Romance, Shoujo",TV,30,Fall 1992,Nippon Animation,G - All Ages,2219,22
Kiddy GiRL-AND,6.88,"Action, Comedy, Sci-Fi, Super Power",TV,24,Fall 2009,Satelight,PG-13 - Teens 13 or older,16271,43
Fortune Dogs,6.46,Adventure,TV,39,Summer 2002,Vega Entertainment,Unknown,850,7
Mahoutsukai Sally,6.41,"Magic, Fantasy, School, Shoujo",TV,109,Winter 1967,Toei Animation,G - All Ages,2923,8
Kure-nai,7.38,"Comedy, Drama, Martial Arts",TV,12,Spring 2008,Brain's Base,PG-13 - Teens 13 or older,80419,236
Amatsuki,6.92,"Action, Demons, Fantasy, Historical, Shoujo, Supernatural",TV,13,Spring 2008,Studio Deen,PG-13 - Teens 13 or older,52716,141
UFO Senshi Dai Apolon,6.13,"Action, Sci-Fi, Mecha",TV,26,Spring 1976,"Eiken, Studio Live",PG-13 - Teens 13 or older,759,3
RD Sennou Chousashitsu,7.13,"Action, Sci-Fi",TV,26,Spring 2008,Production I.G,R - 17+ (violence & profanity),23004,46
Persona: Trinity Soul,6.58,"Action, Sci-Fi, Super Power",TV,26,Winter 2008,A-1 Pictures,PG-13 - Teens 13 or older,70473,175
Shoubushi Densetsu Tetsuya,7.52,"Game, Historical, Shounen",TV,20,Fall 2000,Toei Animation,R - 17+ (violence & profanity),7149,31
RGB Adventure,Unknown,Adventure,TV,6,Fall 2006,Unknown,G - All Ages,237,0
Majokko Megu-chan,6.65,"Magic, Shoujo",TV,72,Spring 1974,Toei Animation,PG-13 - Teens 13 or older,2384,9
Bus Gamer,6.54,Action,TV,3,Winter 2008,Anpro,PG-13 - Teens 13 or older,25017,44
Maicching Machiko-sensei,6.22,"Comedy, Ecchi, School",TV,95,Fall 1981,Studio Pierrot,R+ - Mild Nudity,2636,9
Rokushin Gattai GodMars,6.28,"Action, Mecha, Sci-Fi, Space",TV,64,Fall 1981,Tokyo Movie Shinsha,PG-13 - Teens 13 or older,1896,1
Blassreiter,6.94,"Action, Sci-Fi",TV,24,Spring 2008,Gonzo,R - 17+ (violence & profanity),74743,236
Hula Kappa,Unknown,Comedy,TV,78,Spring 2006,Unknown,G - All Ages,284,1
Jungle no Ouja Taa-chan,7.01,"Action, Comedy, Parody",TV,50,Fall 1993,Group TAC,R+ - Mild Nudity,1805,14
Shigofumi,7.49,"Drama, Fantasy, Psychological, Supernatural, Thriller",TV,12,Winter 2008,J.C.Staff,R - 17+ (violence & profanity),77715,344
Porphy no Nagai Tabi,6.99,"Drama, Historical, Kids, Slice of Life",TV,52,Winter 2008,Nippon Animation,PG - Children,2402,5
Meiken Lassie,6.73,"Adventure, Slice of Life, Kids",TV,25,Winter 1996,Nippon Animation,G - All Ages,1089,1
Chou Mashin Eiyuuden Wataru,6.91,"Action, Adventure, Comedy, Mecha",TV,51,Fall 1997,Sunrise,G - All Ages,1312,5
Go-Q-Choji Ikkiman,6.43,"Sci-Fi, Sports",TV,32,Spring 1986,Toei Animation,G - All Ages,665,5
Hey! Bumboo,6.07,"Adventure, Cars, Kids",TV,130,Spring 1985,Nippon Animation,PG - Children,1107,2
Joou Heika no Petite Angie,6.38,"Historical, Mystery, Shoujo",TV,26,Winter 1978,"Nippon Animation, Production Reed",PG-13 - Teens 13 or older,1029,5
Meme Iroiro Yume no Tabi,6.6,"Adventure, Kids, Sci-Fi",TV,127,Spring 1983,Nippon Animation,PG - Children,583,1
Mister Ajikko,7.07,"Comedy, Shounen",TV,99,Fall 1987,Sunrise,G - All Ages,3715,14
Moero! Top Striker,6.7,"Action, Shounen, Sports",TV,49,Fall 1991,Nippon Animation,G - All Ages,3460,13
The☆Ultraman,6.37,"Action, Sci-Fi, Space, Super Power",TV,50,Spring 1979,Production Reed,PG-13 - Teens 13 or older,2100,7
Space Oz no Bouken,Unknown,"Adventure, Sci-Fi",TV,26,Fall 1992,Unknown,PG - Children,336,0
To LOVE-Ru,7.07,"Sci-Fi, Harem, Comedy, Romance, Ecchi, School, Shounen",TV,26,Spring 2008,Xebec,R+ - Mild Nudity,483606,3840
Vampire Knight,7.03,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",TV,13,Spring 2008,Studio Deen,PG-13 - Teens 13 or older,479832,8751
Pi Po Pa Po Patrol-kun,Unknown,"Cars, Comedy, Police, Kids",TV,65,Winter 2001,Unknown,G - All Ages,400,1
Bosco Daibouken,6.95,"Kids, Adventure, Fantasy",TV,26,Fall 1986,Nippon Animation,PG - Children,1305,7
Kemeko Deluxe!,6.59,"Action, Comedy, Ecchi, Romance, School, Sci-Fi, Shounen",TV,12,Fall 2008,Hal Film Maker,PG-13 - Teens 13 or older,36300,54
Nogizaka Haruka no Himitsu,7.24,"Comedy, Romance",TV,12,Summer 2008,Diomedéa,PG-13 - Teens 13 or older,117124,436
Special A,7.56,"Comedy, Romance, School, Shoujo",TV,24,Spring 2008,"Gonzo, AIC",PG-13 - Teens 13 or older,297695,3081
Yuusha Tokkyuu Might Gaine,6.91,"Action, Sci-Fi, Adventure, Mecha",TV,47,Winter 1993,Sunrise,G - All Ages,2243,12
Ryuusei no Rockman Tribe,6.97,Adventure,TV,21,Fall 2007,Xebec,PG - Children,5559,22
"Yume Miru, Anime: on-chan",Unknown,Comedy,TV,26,Winter 2008,Unknown,G - All Ages,256,0
Wellber no Monogatari: Sisters of Wellber Zwei,6.85,"Adventure, Fantasy, Historical, Romance",TV,13,Winter 2008,Trans Arts,PG-13 - Teens 13 or older,4382,3
Kanokon,6.46,"Comedy, Ecchi, Harem, Romance, School, Shounen, Slice of Life, Supernatural",TV,12,Spring 2008,Xebec,R+ - Mild Nudity,205957,632
Yuusha Shirei Dagwon,6.87,"Action, Adventure, Martial Arts, Mecha, Super Power, School",TV,48,Winter 1996,Sunrise,G - All Ages,1574,3
Garakuta-doori no Stain,6.55,Comedy,TV,13,Winter 2003,Unknown,PG - Children,1050,6
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,7.76,"Slice of Life, Comedy, Police",TV,373,Summer 1996,Gallop,PG-13 - Teens 13 or older,12166,153
Allison to Lillia,7.35,"Action, Adventure, Shounen",TV,26,Spring 2008,Madhouse,PG-13 - Teens 13 or older,38148,170
Midori no Makibao,6.45,"Sports, Comedy",TV,61,Spring 1996,Studio Pierrot,G - All Ages,1180,9
Dennou Boukenki Webdiver,6.89,"Adventure, Mecha, Sci-Fi, Shounen",TV,52,Spring 2001,Nippon Animation,PG - Children,1942,20
Ganbarist! Shun,7.2,"Comedy, Shounen, Sports",TV,30,Summer 1996,Sunrise,PG-13 - Teens 13 or older,2774,13
Mach GoGoGo (1997),6.31,"Adventure, Cars",TV,34,Winter 1997,Tatsunoko Production,PG - Children,3002,4
Macross F,7.92,"Action, Space, Mecha, Romance, Military, Music, Sci-Fi",TV,25,Spring 2008,Satelight,PG-13 - Teens 13 or older,129291,1895
Kodai Ouja Kyouryuu King,6.14,"Adventure, Kids, Fantasy",TV,49,Winter 2007,Sunrise,PG - Children,15334,72
Kyouran Kazoku Nikki,7.28,"Comedy, Sci-Fi",TV,26,Spring 2008,Nomad,PG-13 - Teens 13 or older,26601,115
Getter Robo,6.79,"Action, Sci-Fi, Mecha, Shounen",TV,51,Spring 1974,Toei Animation,PG-13 - Teens 13 or older,5793,23
Soul Eater,7.88,"Action, Fantasy, Comedy, Supernatural, Shounen",TV,51,Spring 2008,Bones,PG-13 - Teens 13 or older,1218423,23856
Tears to Tiara,7.2,"Action, Adventure, Fantasy, Magic",TV,26,Spring 2009,White Fox,PG-13 - Teens 13 or older,69340,189
Hidamari Sketch x 365,7.84,"Slice of Life, Comedy, School, Seinen",TV,13,Summer 2008,Shaft,PG-13 - Teens 13 or older,27309,156
Kikou Kantai Dairugger XV,6.42,"Action, Sci-Fi, Adventure, Space, Mecha, Shounen",TV,52,Spring 1982,Toei Animation,PG-13 - Teens 13 or older,1977,10
Toshokan Sensou,7.48,"Action, Military, Comedy, Romance",TV,12,Spring 2008,Production I.G,PG-13 - Teens 13 or older,61809,385
Yakushiji Ryouko no Kaiki Jikenbo,7.09,"Mystery, Police, Supernatural",TV,13,Summer 2008,Doga Kobo,PG-13 - Teens 13 or older,15747,36
Neo Angelique Abyss,6.85,"Comedy, Fantasy, Harem, Romance, Shoujo",TV,13,Spring 2008,Yumeta Company,PG-13 - Teens 13 or older,33135,133
Kamen no Maid Guy,7.03,"Action, Comedy, Ecchi, Super Power",TV,12,Spring 2008,Madhouse,R+ - Mild Nudity,36455,71
Nanako SOS,6.31,"Comedy, Parody, Romance, Super Power",TV,39,Spring 1983,Unknown,G - All Ages,1384,2
D.C.II S.S.: Da Capo II Second Season,7.23,"Fantasy, Comedy, Harem, Romance, Drama",TV,13,Spring 2008,feel.,PG-13 - Teens 13 or older,26787,55
Aoi Blink,6.77,"Adventure, Fantasy",TV,39,Spring 1989,Unknown,G - All Ages,1523,6
Bouken Yuuki Pluster World,6.18,"Action, Sci-Fi, Adventure, Shounen",TV,52,Spring 2003,"Actas, Brain's Base",G - All Ages,734,3
Kaiketsu Zorori,7.06,"Adventure, Comedy",TV,52,Winter 2004,Ajia-Do,PG - Children,2471,29
Kurogane no Linebarrels,6.95,"Action, Mecha, Sci-Fi",TV,24,Fall 2008,Gonzo,R - 17+ (violence & profanity),39055,93
Macademi Wasshoi!,6.97,"Comedy, Ecchi, Fantasy, Romance, School, Supernatural",TV,12,Fall 2008,Zexcs,R+ - Mild Nudity,39050,110
Nabari no Ou,7.29,"Action, Fantasy, Supernatural, Comedy, Drama, Shounen",TV,26,Spring 2008,J.C.Staff,PG-13 - Teens 13 or older,147403,1422
Monochrome Factor,6.99,"Action, Shounen Ai, Supernatural",TV,24,Spring 2008,A.C.G.T.,PG-13 - Teens 13 or older,52251,255
Mahou no Idol Pastel Yumi,6.29,"Comedy, Fantasy, Kids, Magic, Shoujo",TV,25,Spring 1986,Studio Pierrot,G - All Ages,2072,5
Strike Witches,7,"Action, Ecchi, Magic, Military, Sci-Fi",TV,12,Summer 2008,Gonzo,R+ - Mild Nudity,145016,1045
Telepathy Shoujo Ran,6.64,"Fantasy, School",TV,26,Summer 2008,TMS Entertainment,PG-13 - Teens 13 or older,8032,5
Kikou Souseiki Mospeada,7.1,"Action, Mecha, Military",TV,25,Fall 1983,"Tatsunoko Production, Studio World",PG-13 - Teens 13 or older,7277,42
Tottemo! Luckyman,6.88,"Comedy, Super Power, Sci-Fi, Shounen",TV,50,Spring 1994,Studio Pierrot,G - All Ages,1568,12
Nijuu Mensou no Musume,7.57,"Action, Adventure, Mystery",TV,22,Spring 2008,"Bones, Telecom Animation Film",PG-13 - Teens 13 or older,30373,173
Machine Robo: Cronos no Dai Gyakushuu,6.32,"Action, Martial Arts, Mecha, Sci-Fi, Space",TV,47,Summer 1986,Production Reed,PG-13 - Teens 13 or older,1379,2
Kabatotto,6,Comedy,TV,300,Winter 1971,Tatsunoko Production,G - All Ages,517,1
Hatsumei Boy Kanipan,6.57,"Sci-Fi, Adventure, Comedy, Mecha",TV,31,Summer 1998,Unknown,PG - Children,721,5
Chou Hatsumei Boy Kanipan,6.53,"Adventure, Comedy, Mecha, Romance",TV,21,Winter 1999,Unknown,G - All Ages,771,6
Watashi to Watashi: Futari no Lotte,6.96,"Slice of Life, Kids, Shoujo",TV,29,Fall 1991,Tokyo Movie Shinsha,G - All Ages,939,2
Yes! Precure 5 GoGo!,7.12,"Action, Magic, Fantasy, School, Shoujo",TV,48,Winter 2008,Toei Animation,G - All Ages,7566,30
Kaiba,8.17,"Adventure, Mystery, Romance, Sci-Fi",TV,12,Spring 2008,Madhouse,R+ - Mild Nudity,113817,2965
Zenryoku Usagi,6.31,"Comedy, Kids",TV,52,Winter 2008,Unknown,G - All Ages,840,1
Hakaba Kitarou,6.9,"Horror, Supernatural",TV,11,Winter 2008,Toei Animation,PG-13 - Teens 13 or older,9880,35
Zero no Tsukaima: Princesses no Rondo,7.4,"Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School",TV,12,Summer 2008,J.C.Staff,PG-13 - Teens 13 or older,368587,890
Jigoku Shoujo Mitsuganae,7.65,"Mystery, Psychological, Supernatural",TV,26,Fall 2008,Studio Deen,R - 17+ (violence & profanity),88526,315
Koala Boy Kokki,6.23,Comedy,TV,26,Spring 1984,Unknown,G - All Ages,669,3
Taiko no Tatsujin,6.02,Game,TV,26,Spring 2005,Unknown,G - All Ages,780,5
Itazura na Kiss,7.53,"Comedy, Romance, Shoujo",TV,25,Spring 2008,TMS Entertainment,PG-13 - Teens 13 or older,228881,3068
Parappa the Rapper,5.97,"Comedy, Fantasy",TV,30,Spring 2001,"J.C.Staff, Production I.G",G - All Ages,2662,24
Usavich,6.96,"Adventure, Comedy",TV,13,Unknown,Kanaban Graphics,PG-13 - Teens 13 or older,6094,22
Usavich II,7.11,"Adventure, Comedy",TV,13,Fall 2007,Kanaban Graphics,PG-13 - Teens 13 or older,4376,3
Maria-sama ga Miteru 4th,7.82,"School, Shoujo, Shoujo Ai, Slice of Life",TV,13,Winter 2009,Studio Deen,PG-13 - Teens 13 or older,18062,88
Tongari Boushi no Memole,6.91,"Fantasy, Magic, Shoujo",TV,50,Spring 1984,Toei Animation,G - All Ages,1976,6
Wanwan Sanjuushi,6.73,"Adventure, Historical",TV,26,Fall 1981,Nippon Animation,G - All Ages,2353,10
Pygmalio,6.8,"Adventure, Fantasy, Shoujo",TV,39,Fall 1990,Nippon Animation,G - All Ages,1129,3
Play Ball,6.13,"Action, Sports, Shounen",TV,13,Summer 2005,Eiken,G - All Ages,786,0
Saiko Robot Kombock,5.4,"Mecha, Sci-Fi",TV,25,Fall 2003,Unknown,PG - Children,3620,4
Go! Go! Itsutsugo Land,6.52,School,TV,50,Spring 2001,Eiken,G - All Ages,737,2
Arrow Emblem Grand Prix no Taka,6.47,"Cars, Sports, Drama",TV,44,Fall 1977,Toei Animation,PG-13 - Teens 13 or older,1512,5
Sasuga no Sarutobi,6.48,"Action, Adventure, Comedy, Sports, Romance, Martial Arts",TV,69,Fall 1982,Tsuchida Productions,G - All Ages,1085,2
Honoo no Alpenrose: Judy & Randy,6.78,"Historical, Drama, Romance, Shoujo",TV,20,Spring 1985,Tatsunoko Production,PG-13 - Teens 13 or older,2411,10
Futari Daka,6.01,"Cars, Sports, Shounen",TV,36,Fall 1984,Kokusai Eigasha,G - All Ages,676,1
Shirayuki Hime no Densetsu,6.65,"Adventure, Fantasy, Romance",TV,52,Spring 1994,Tatsunoko Production,G - All Ages,2690,6
Mori no Youki na Kobito-tachi: Belfy to Lillibit,6.38,"Adventure, Fantasy, Comedy",TV,26,Winter 1980,Tatsunoko Production,G - All Ages,1161,2
Hoshi no Oujisama Petit Prince,6.77,Adventure,TV,35,Summer 1978,Unknown,G - All Ages,1463,7
Yume no Hoshi no Button Nose,6.48,"Kids, Adventure",TV,26,Fall 1985,Unknown,PG - Children,648,2
Sasurai no Taiyou,6.51,"Music, Drama",TV,26,Spring 1971,Unknown,PG-13 - Teens 13 or older,1164,3
Little Lulu to Chicchai Nakama,6.43,"Kids, Slice of Life, Comedy",TV,26,Fall 1976,Nippon Animation,G - All Ages,703,1
Dokaben,5.97,"Action, Sports, School, Shounen",TV,163,Fall 1976,Nippon Animation,PG-13 - Teens 13 or older,760,2
Ore wa Teppei,6.52,"Action, Shounen, Sports",TV,28,Fall 1977,Nippon Animation,PG-13 - Teens 13 or older,1138,3
Hoshi no Ko Chobin,6.06,"Sci-Fi, Adventure",TV,26,Spring 1974,Studio Zero,G - All Ages,510,1
Ai no Gakkou Cuore Monogatari,6.58,"Slice of Life, Historical, Drama, School",TV,26,Spring 1981,Nippon Animation,G - All Ages,1854,6
Meiken Jolie,6.73,"Adventure, Historical",TV,52,Spring 1981,Visual 80,G - All Ages,2065,6
Mashin Eiyuuden Wataru,6.91,"Adventure, Comedy, Mecha, Sci-Fi, Shounen",TV,45,Spring 1988,Sunrise,G - All Ages,2120,12
Himitsu no Akko-chan 2,6.18,"Magic, School, Shoujo",TV,61,Fall 1988,Toei Animation,G - All Ages,756,2
Himitsu no Akko-chan 3,6.39,"Magic, School, Shoujo",TV,44,Spring 1998,Toei Animation,G - All Ages,742,0
Crystal Blaze,6.16,"Action, Sci-Fi",TV,12,Spring 2008,Unknown,R - 17+ (violence & profanity),15235,6
Chi's Sweet Home,7.7,"Comedy, Slice of Life",TV,104,Spring 2008,Madhouse,G - All Ages,54396,435
Mahoutsukai Chappy,6.08,"Adventure, Kids, Magic",TV,39,Spring 1972,Toei Animation,G - All Ages,554,0
Konchuu Monogatari Minashigo Hutch,6.42,"Adventure, Comedy, Drama",TV,91,Spring 1970,Tatsunoko Production,G - All Ages,2259,6
Top Secret: The Revelation,7.32,"Sci-Fi, Mystery, Police, Psychological, Shoujo",TV,26,Spring 2008,Madhouse,R+ - Mild Nudity,16585,66
Kick no Oni,6.32,"Shounen, Sports",TV,26,Fall 1970,Toei Animation,Unknown,678,2
Honey Honey no Suteki na Bouken,6.24,"Adventure, Historical, Shoujo",TV,29,Fall 1981,Unknown,G - All Ages,820,4
Ashita e Free Kick,6.46,Sports,TV,52,Spring 1992,Production Reed,PG-13 - Teens 13 or older,1726,4
Mahoutsukai Sally 2,6.39,"Comedy, Magic, Shoujo",TV,88,Fall 1989,Toei Animation,G - All Ages,1189,2
Maeterlinck no Aoi Tori: Tyltyl Mytyl no Bouken Ryokou,6.28,"Adventure, Fantasy",TV,26,Winter 1980,Toei Animation,G - All Ages,735,2
Sasurai no Shoujo Nell,6.26,"Adventure, Historical, Shoujo",TV,26,Fall 1979,DAX Production,G - All Ages,1036,1
Mahou Shoujo Lalabel,6.36,"Slice of Life, Magic, Comedy, Shoujo",TV,49,Winter 1980,Toei Animation,G - All Ages,1464,1
Paris no Isabelle,5.73,"Historical, Drama",TV,13,Spring 1979,DAX Production,G - All Ages,805,0
Makyou Densetsu Acrobunch,6.05,"Mecha, Sci-Fi, Shounen",TV,24,Spring 1982,Unknown,PG-13 - Teens 13 or older,850,0
Majokko Tickle,6.12,"Magic, Comedy, Shoujo",TV,45,Spring 1978,Toei Animation,G - All Ages,970,3
Ougon Bat,6.33,"Action, Sci-Fi, Super Power",TV,52,Spring 1967,"Dai-Ichi Douga, Dongyang Animation",PG-13 - Teens 13 or older,1462,4
Ginga Sengoku Gunyuuden Rai,7.94,"Sci-Fi, Adventure, Space, Romance, Shounen",TV,52,Spring 1994,E&G Films,PG-13 - Teens 13 or older,11612,71
Time Bokan,6.52,"Adventure, Comedy, Mecha",TV,61,Fall 1975,Tatsunoko Production,G - All Ages,1831,2
Mobile Suit Gundam 00 Second Season,8.11,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25,Fall 2008,Sunrise,R - 17+ (violence & profanity),127119,1402
Magnerobo Ga-Keen,6.25,"Action, Mecha, Sci-Fi",TV,39,Fall 1976,Toei Animation,PG-13 - Teens 13 or older,884,0
Karakuri Kiden: Hiwou Senki,6.48,"Action, Adventure, Mecha, Historical",TV,26,Fall 2000,Bones,Unknown,1342,1
Personal Computer Travel Tanteidan,6.12,"Kids, Adventure, Historical, Sci-Fi",TV,26,Spring 1983,Tatsunoko Production,PG - Children,921,3
Jarinko Chie (TV),6.29,"Slice of Life, Comedy, Drama, Seinen",TV,64,Fall 1981,Tokyo Movie Shinsha,G - All Ages,803,2
Kannagi,7.32,"Comedy, School, Shounen, Supernatural",TV,13,Fall 2008,"A-1 Pictures, Ordet",PG-13 - Teens 13 or older,137337,359
Kagaku Kyuujo-tai TechnoVoyager,6.1,"Action, Adventure, Mecha, Sci-Fi, Space",TV,18,Spring 1982,Toei Animation,PG-13 - Teens 13 or older,796,3
Yu☆Gi☆Oh! 5D's,7.42,"Action, Game, Shounen",TV,154,Spring 2008,Gallop,PG-13 - Teens 13 or older,102854,1353
Tetsuwan Birdy Decode,7.46,"Action, Sci-Fi, Comedy",TV,13,Summer 2008,A-1 Pictures,PG-13 - Teens 13 or older,80455,377
Uchi no 3 Shimai,Unknown,"Slice of Life, Comedy",TV,102,Spring 2008,"Toei Animation, Daewon Media",G - All Ages,503,2
Paul no Miracle Daisakusen,6.45,"Action, Adventure, Kids",TV,50,Fall 1976,Tatsunoko Production,G - All Ages,704,1
Seiyou Kottou Yougashiten: Antique,7.06,"Comedy, Shoujo, Shounen Ai",TV,12,Summer 2008,"Nippon Animation, SynergySP, Shirogumi",PG-13 - Teens 13 or older,31703,105
Kitty's Paradise,6.22,"Fantasy, Kids",TV,16,Spring 1994,"Bones, Sanrio",G - All Ages,1142,4
Sanrio Anime Sekai Meisaku Gekijou,6.09,"Adventure, Fantasy, Kids",TV,13,Fall 1987,Unknown,G - All Ages,1149,1
Asobou! Hello Kitty,5.99,"Adventure, Fantasy, Kids",TV,26,Spring 1994,Unknown,G - All Ages,1074,8
Slayers Revolution,7.29,"Adventure, Comedy, Fantasy",TV,13,Summer 2008,J.C.Staff,PG-13 - Teens 13 or older,32451,51
Zettai Karen Children,7.34,"Action, Comedy, Supernatural, Shounen",TV,51,Spring 2008,SynergySP,PG-13 - Teens 13 or older,39507,115
Golgo 13 (TV),7.54,"Action, Adventure, Drama, Thriller, Seinen",TV,50,Spring 2008,The Answer Studio,R+ - Mild Nudity,33598,195
Youkai Ningen Bem,6.07,"Horror, Demons",TV,26,Fall 1968,Dai-Ichi Douga,PG-13 - Teens 13 or older,1360,3
Mafukiden: Pandarian,6.13,"Adventure, Comedy, Fantasy, Kids, Magic, Super Power",TV,26,Winter 2005,Planet,G - All Ages,722,2
Kouchuu Ouja Mushiking: Mori no Tami no Densetsu,6.69,Fantasy,TV,52,Spring 2005,TMS Entertainment,G - All Ages,2575,9
Net Ghost Pipopa,6.75,"Action, Adventure, Comedy, Kids, Sci-Fi, Shounen",TV,51,Spring 2008,Studio Hibari,G - All Ages,1646,7
Medarot Damashii,6.65,"Action, Sci-Fi, Adventure",TV,39,Summer 2000,Trans Arts,G - All Ages,15634,9
Norimono Oukoku BuBu ChaCha,6.68,"Slice of Life, Comedy",TV,26,Spring 1999,Daume,G - All Ages,630,2
Masuda Kousuke Gekijou Gag Manga Biyori 3,7.1,Comedy,TV,12,Spring 2008,Studio Deen,PG-13 - Teens 13 or older,2433,4
Grimm Meisaku Gekijou,7.4,"Adventure, Comedy, Fantasy, Kids, Magic",TV,24,Fall 1987,Nippon Animation,G - All Ages,3544,15
Grimm Masterpiece Theater II,7.33,"Adventure, Comedy, Fantasy, Kids, Magic",TV,23,Fall 1988,Nippon Animation,G - All Ages,2033,2
Musashi no Ken,7.16,"Sports, Shounen",TV,72,Spring 1985,Eiken,G - All Ages,1929,10
Sekirei,7.13,"Action, Comedy, Ecchi, Harem, Super Power",TV,12,Summer 2008,Seven Arcs,R+ - Mild Nudity,329432,1727
Tytania,6.84,"Adventure, Military, Psychological, Romance, Sci-Fi, Space",TV,26,Fall 2008,Artland,PG-13 - Teens 13 or older,17390,35
Shin Megami Tensei Devil Children,6.27,"Action, Adventure, Demons, Fantasy, Game, Kids, Magic, Sci-Fi, Supernatural",TV,50,Fall 2000,Actas,PG - Children,1905,2
Shin Megami Tensei Devil Children: Light & Dark,6.42,"Action, Kids, Adventure, Fantasy, Magic, Game, Supernatural, Demons, Sci-Fi",TV,52,Fall 2002,Actas,PG - Children,1421,0
Kyouryuu Daisensou Izenborg,6.6,"Action, Mecha",TV,39,Fall 1977,Unknown,G - All Ages,897,11
Kyou kara Maou! 3rd Series,7.81,"Adventure, Comedy, Demons, Fantasy, Shoujo",TV,39,Spring 2008,Studio Deen,PG-13 - Teens 13 or older,28542,145
Natsume Yuujinchou,8.33,"Slice of Life, Demons, Supernatural, Drama, Shoujo",TV,13,Summer 2008,Brain's Base,PG-13 - Teens 13 or older,412285,13533
Wonder Beat Scramble,6.54,"Action, Space, Sci-Fi",TV,26,Spring 1986,Mushi Production,PG-13 - Teens 13 or older,831,2
