Name,Score,Genres,Type,Episodes,Premiered,Studios,Rating,Members,Favorites
Danchi Tomoo,Unknown,"Comedy, Seinen",TV,78,Spring 2013,Unknown,G - All Ages,819,1
DD Hokuto no Ken (2013),6.51,"Parody, Seinen",TV,13,Spring 2013,Unknown,PG-13 - Teens 13 or older,3253,6
Glass no Kamen Desu ga,5.56,"Comedy, Parody",TV,3,Spring 2013,DLE,PG-13 - Teens 13 or older,1220,1
Haitai Nanafa 2nd Season,5.98,"Comedy, Supernatural",TV,13,Spring 2013,Passione,G - All Ages,3304,1
Grisaia no Kajitsu,7.55,"Drama, Harem, Psychological, Romance, School",TV,13,Fall 2014,8bit,R+ - Mild Nudity,453783,3723
Ketsuekigata-kun!,6.59,Comedy,TV,12,Spring 2013,"feel., Assez Finaud Fabric",PG-13 - Teens 13 or older,9507,16
Dibetagurashi: Ahiru no Seikatsu,5.87,"Comedy, Slice of Life",TV,39,Spring 2013,Unknown,G - All Ages,833,1
Kimi no Iru Machi,6.94,"Slice of Life, Drama, Romance, Shounen",TV,12,Summer 2013,Gonzo,R+ - Mild Nudity,123213,525
"Saikin, Imouto no Yousu ga Chotto Okashiinda ga.",6.27,"Comedy, Ecchi, Romance, Shounen, Supernatural",TV,12,Winter 2014,Project No.9,R+ - Mild Nudity,136125,157
Stella Jogakuin Koutou-ka C³-bu,6.54,"Military, School, Sports",TV,13,Summer 2013,Gainax,PG-13 - Teens 13 or older,49175,75
Daitoshokan no Hitsujikai,6.93,"Harem, Romance, School",TV,12,Fall 2014,"Hoods Entertainment, Felix Film",PG-13 - Teens 13 or older,105260,194
Inu to Hasami wa Tsukaiyou,6.58,"Comedy, Supernatural",TV,12,Summer 2013,Gonzo,PG-13 - Teens 13 or older,115924,232
Sparrow's Hotel,5.47,Comedy,TV,12,Spring 2013,Hotline,PG-13 - Teens 13 or older,9019,9
Pokemon Best Wishes! Season 2: Decolora Adventure,6.3,"Action, Adventure, Comedy, Kids, Fantasy",TV,20,Spring 2013,OLM,PG - Children,29381,25
Cheonbangjichuk Hani,Unknown,"Sports, Comedy, School, Drama",TV,13,Unknown,Daewon Media,Unknown,329,0
Golden Time,7.78,"Comedy, Drama, Romance",TV,24,Fall 2013,J.C.Staff,PG-13 - Teens 13 or older,688649,9875
Uchouten Kazoku,7.88,"Slice of Life, Comedy, Demons, Drama, Fantasy",TV,13,Summer 2013,P.A. Works,PG-13 - Teens 13 or older,137249,1349
Danball Senki Wars,7.08,"Action, Kids, Mecha",TV,37,Spring 2013,OLM,G - All Ages,3680,35
Houkago no Pleiades (TV),6.72,"Magic, Space",TV,12,Spring 2015,Gainax,PG-13 - Teens 13 or older,30955,101
Tanken Driland: 1000-nen no Mahou,6.03,"Adventure, Fantasy",TV,51,Spring 2013,Toei Animation,PG - Children,1100,2
Freezing Vibration,6.82,"Action, Military, Sci-Fi, Harem, Drama, Romance, Ecchi, Martial Arts, Seinen",TV,12,Fall 2013,A.C.G.T.,R+ - Mild Nudity,138170,208
Forza! Hidemaru,Unknown,Sports,TV,26,Spring 2002,Unknown,G - All Ages,303,3
Dalam-iwa Goseumdochi,Unknown,"Military, Historical",TV,32,Unknown,Unknown,R - 17+ (violence & profanity),450,3
Rozen Maiden (2013),7.35,"Action, Comedy, Drama, Magic, Seinen",TV,13,Summer 2013,Studio Deen,PG-13 - Teens 13 or older,66365,222
Hakkenden: Touhou Hakken Ibun 2nd Season,7.66,"Action, Demons, Supernatural, Fantasy, Shoujo",TV,13,Summer 2013,Studio Deen,PG-13 - Teens 13 or older,53592,217
Nourin,6.82,"Comedy, Parody, Romance, Ecchi, School",TV,12,Winter 2014,SILVER LINK.,PG-13 - Teens 13 or older,148476,223
Inazuma Eleven Go: Galaxy,6.65,"Shounen, Sports, Super Power",TV,43,Spring 2013,OLM,G - All Ages,31602,107
Recorder to Randoseru Mi☆,6.67,"Comedy, School, Seinen, Slice of Life",TV,12,Summer 2013,Seven,PG-13 - Teens 13 or older,18673,4
Magi: The Kingdom of Magic,8.28,"Action, Adventure, Magic, Fantasy, Shounen",TV,25,Fall 2013,A-1 Pictures,PG-13 - Teens 13 or older,639860,7471
Servant x Service,7.68,"Comedy, Seinen, Slice of Life",TV,13,Summer 2013,A-1 Pictures,PG-13 - Teens 13 or older,170993,618
Teekyuu 2,6.75,"Comedy, School, Shounen, Sports",TV,12,Summer 2013,MAPPA,PG-13 - Teens 13 or older,26367,23
Ikeike! Momon-chan,5.45,Comedy,TV,15,Fall 2012,Unknown,G - All Ages,692,0
Train Heroes,Unknown,Kids,TV,26,Spring 2013,Unknown,G - All Ages,333,1
Tonari no Seki-kun,7.58,"Comedy, School, Seinen",TV,21,Winter 2014,Shin-Ei Animation,G - All Ages,175478,546
Kyoukai no Kanata,7.78,"Slice of Life, Supernatural, Fantasy",TV,12,Fall 2013,Kyoto Animation,PG-13 - Teens 13 or older,848484,10726
Line Town,Unknown,"Comedy, Kids",TV,50,Spring 2013,Unknown,PG-13 - Teens 13 or older,659,5
Yowamushi Pedal,8,"Comedy, Sports, Drama, Shounen",TV,38,Fall 2013,TMS Entertainment,PG-13 - Teens 13 or older,181339,2180
Little Busters!: Refrain,8.23,"Slice of Life, Comedy, Supernatural, Drama, Romance, School",TV,13,Fall 2013,J.C.Staff,PG-13 - Teens 13 or older,133750,1927
World Fool News (TV),5.96,"Slice of Life, Comedy",TV,12,Spring 2014,Unknown,G - All Ages,1915,5
Gatchaman Crowds,7.33,"Sci-Fi, Adventure",TV,12,Summer 2013,Tatsunoko Production,PG-13 - Teens 13 or older,163259,1237
White Album 2,7.71,"Drama, Music, Romance, Slice of Life",TV,13,Fall 2013,Satelight,PG-13 - Teens 13 or older,191370,2996
IS: Infinite Stratos 2,6.55,"Action, Sci-Fi, Harem, Comedy, Ecchi, Mecha",TV,12,Fall 2013,8bit,PG-13 - Teens 13 or older,303912,507
Strike the Blood,7.14,"Action, Harem, Supernatural, Ecchi, Vampire, Fantasy, School",TV,24,Fall 2013,"SILVER LINK., Connect",R+ - Mild Nudity,499734,2188
Kakumeiki Valvrave 2nd Season,7.3,"Action, Space, Mecha",TV,12,Fall 2013,Sunrise,R - 17+ (violence & profanity),81652,223
Mazinger ZIP!,5.62,"Comedy, Mecha",TV,237,Spring 2013,Kate Arrow,G - All Ages,753,0
Mini Van,6.9,"Game, Slice of Life, Comedy, Parody",TV,37,Spring 2013,DLE,PG-13 - Teens 13 or older,1645,3
Gingitsune,7.18,"Seinen, Slice of Life, Supernatural",TV,12,Fall 2013,Diomedéa,PG-13 - Teens 13 or older,49508,90
Spheres,Unknown,"Action, Fantasy, Super Power",TV,26,Winter 2003,Unknown,PG - Children,495,1
Genshiken Nidaime,7.46,"Slice of Life, Comedy, Parody",TV,13,Summer 2013,Production I.G,R - 17+ (violence & profanity),44413,113
Odoriko Clinoppe,Unknown,"Comedy, Slice of Life",TV,26,Spring 2013,Unknown,G - All Ages,217,0
Kitakubu Katsudou Kiroku,6.78,"Comedy, School, Slice of Life",TV,12,Summer 2013,Nomad,PG-13 - Teens 13 or older,42819,109
Yozakura Quartet: Hana no Uta,7.5,"Action, Comedy, Super Power, Supernatural, Magic, Shounen",TV,13,Fall 2013,Tatsunoko Production,PG-13 - Teens 13 or older,103092,409
Free!,7.39,"Slice of Life, Comedy, Sports, Drama, School",TV,12,Summer 2013,"Kyoto Animation, Animation Do",PG-13 - Teens 13 or older,585161,9678
Senyuu. 2,7.48,"Action, Comedy, Fantasy, Parody, Shounen",TV,13,Summer 2013,"Ordet, LIDENFILMS",PG-13 - Teens 13 or older,50509,114
Noobow,Unknown,"Kids, Slice of Life",TV,26,Fall 1995,Unknown,PG - Children,193,4
Chuunibyou demo Koi ga Shitai! Ren,7.56,"Comedy, Drama, Romance, School, Slice of Life",TV,12,Winter 2014,Kyoto Animation,PG-13 - Teens 13 or older,522620,2952
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,6.9,"Comedy, Romance, Ecchi, Fantasy",TV,12,Fall 2013,Asread,R+ - Mild Nudity,236819,405
Kill la Kill,8.11,"Action, Comedy, Super Power, Ecchi, School",TV,24,Fall 2013,Trigger,PG-13 - Teens 13 or older,1283021,34658
Diamond no Ace,8.12,"Comedy, School, Shounen, Sports",TV,75,Fall 2013,"Production I.G, Madhouse",PG-13 - Teens 13 or older,181230,3697
BlazBlue: Alter Memory,6.13,"Action, Fantasy",TV,12,Fall 2013,"Hoods Entertainment, teamKG",R - 17+ (violence & profanity),78558,174
Gifuu Doudou!!: Kanetsugu to Keiji,6.48,"Action, Historical, Martial Arts, Samurai, Seinen",TV,25,Summer 2013,Studio Deen,R - 17+ (violence & profanity),7089,15
Alice Tantei Kyoku,Unknown,"Mystery, Kids, Fantasy",TV,56,Spring 1995,Unknown,G - All Ages,307,1
Ninja Hattori-kun (2012),6.44,Comedy,TV,52,Spring 2012,Shin-Ei Animation,G - All Ages,1494,1
Aoki Hagane no Arpeggio: Ars Nova,7.4,"Action, Sci-Fi, Seinen",TV,12,Fall 2013,SANZIGEN,PG-13 - Teens 13 or older,131641,945
Nisekoi,7.65,"Harem, Comedy, Romance, School, Shounen",TV,20,Winter 2014,Shaft,PG-13 - Teens 13 or older,857824,12713
Hakken Taiken Daisuki! Shimajirou,Unknown,"Adventure, Comedy, Fantasy, Kids, Magic",TV,101,Spring 2008,Unknown,G - All Ages,264,1
"Wake Up, Girls!",6.99,"Drama, Music",TV,12,Winter 2014,"Tatsunoko Production, Ordet",PG-13 - Teens 13 or older,46365,142
Future Card Buddyfight,6.73,Game,TV,64,Winter 2014,"Xebec, OLM",PG - Children,7943,46
Love Live! School Idol Project 2nd Season,7.81,"Music, School, Slice of Life",TV,13,Spring 2014,Sunrise,PG-13 - Teens 13 or older,204825,2929
Toaru Hikuushi e no Koiuta,7.19,"Adventure, Drama, Romance",TV,13,Winter 2014,TMS Entertainment,PG-13 - Teens 13 or older,86007,213
Doctor Chichibuyama,Unknown,"Ecchi, Parody, Seinen",TV,2,Spring 1988,Production Reed,R+ - Mild Nudity,471,1
Walkure Romanze,6.38,"Action, Ecchi, Romance, Harem, School, Sports",TV,12,Fall 2013,8bit,R+ - Mild Nudity,108289,138
Youkai Watch,6.54,"Comedy, Demons, Kids, Supernatural",TV,214,Winter 2014,OLM,G - All Ages,19438,167
Date A Live II,7.24,"Comedy, Harem, Mecha, Romance, School, Sci-Fi",TV,10,Spring 2014,Production IMS,R - 17+ (violence & profanity),445431,3032
Maji de Otaku na English! Ribbon-chan: Eigo de Tatakau Mahou Shoujo - The TV,5.34,"Comedy, Magic",TV,10,Summer 2013,AIC Frontier,PG-13 - Teens 13 or older,2799,2
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",7.26,"Harem, Comedy, Romance, School",TV,10,Fall 2013,Diomedéa,PG-13 - Teens 13 or older,333922,1484
Meganebu!,6.29,"Comedy, School, Slice of Life",TV,12,Fall 2013,Studio Deen,PG-13 - Teens 13 or older,28205,67
Pokemon XY,7.28,"Action, Adventure, Comedy, Fantasy, Kids",TV,93,Fall 2013,OLM,PG - Children,104814,448
Turuturutu Narongi,Unknown,"Adventure, Kids",TV,52,Winter 2005,Unknown,G - All Ages,183,0
Pupa,3.41,"Fantasy, Horror, Psychological",TV,12,Winter 2014,Studio Deen,R - 17+ (violence & profanity),149948,220
Gundam Build Fighters,7.79,"Action, Sci-Fi, Mecha",TV,25,Fall 2013,Sunrise,G - All Ages,59655,602
Kwaegeol Longman Narongi,Unknown,"Adventure, Kids",TV,52,Winter 2006,Unknown,G - All Ages,175,1
Gin no Saji 2nd Season,8.29,"Comedy, School, Shounen, Slice of Life",TV,11,Winter 2014,A-1 Pictures,PG-13 - Teens 13 or older,120433,583
Samurai Flamenco,6.91,"Action, Comedy, Parody, Super Power",TV,22,Fall 2013,Manglobe,R - 17+ (violence & profanity),114702,844
Galilei Donna,6.44,"Action, Sci-Fi, Adventure",TV,11,Fall 2013,A-1 Pictures,R - 17+ (violence & profanity),49189,49
Outbreak Company,7.3,"Harem, Comedy, Parody, Fantasy",TV,12,Fall 2013,feel.,PG-13 - Teens 13 or older,281505,838
Yami Shibai,7.06,"Dementia, Horror, Demons, Supernatural",TV,13,Summer 2013,ILCA,PG-13 - Teens 13 or older,76957,247
Akuma no Riddle,6.64,"Action, School, Shoujo Ai",TV,12,Spring 2014,Diomedéa,R - 17+ (violence & profanity),223133,1048
Green Saver,Unknown,"Adventure, Kids",TV,26,Fall 2009,Unknown,G - All Ages,194,1
Revbahaf Wang-gug Jaegeon-soelgi,Unknown,"Comedy, Drama, Shoujo",TV,26,Spring 2007,Unknown,Unknown,544,1
Giga Tribe,Unknown,"Comedy, Parody, Shounen, Super Power",TV,39,Fall 2008,Unknown,PG - Children,298,0
Kaizoku Ouji,Unknown,"Adventure, Shounen",TV,31,Spring 1966,Toei Animation,Unknown,357,0
Beompeoking Jaepeo,Unknown,"Action, Cars",TV,26,Unknown,Daewon Media,Unknown,260,1
Kobo-chan,6.55,"Comedy, Kids, Slice of Life",TV,63,Fall 1992,Eiken,G - All Ages,365,2
Hajime no Ippo: Rising,8.6,"Comedy, Sports, Drama, Shounen",TV,25,Fall 2013,"Madhouse, MAPPA",PG-13 - Teens 13 or older,175315,1010
Kanojo ga Flag wo Oraretara,6.44,"Comedy, Harem, Romance, School",TV,13,Spring 2014,Hoods Entertainment,PG-13 - Teens 13 or older,153793,231
Kyousou Giga (TV),7.78,"Action, Fantasy, Supernatural",TV,10,Fall 2013,Toei Animation,PG-13 - Teens 13 or older,147410,1768
Oshiri Kajiri Mushi (TV) 2nd Season,5.34,"Comedy, Kids",TV,32,Fall 2013,Kinema Citrus,G - All Ages,668,1
Mahou Sensou,6.03,"Action, Fantasy, Magic",TV,12,Winter 2014,Madhouse,PG-13 - Teens 13 or older,202335,326
Sidonia no Kishi,7.69,"Action, Mecha, Sci-Fi, Seinen, Space",TV,12,Spring 2014,Polygon Pictures,R - 17+ (violence & profanity),197189,1420
No Game No Life,8.2,"Game, Adventure, Comedy, Supernatural, Ecchi, Fantasy",TV,12,Spring 2014,Madhouse,PG-13 - Teens 13 or older,1751054,45990
Saikyou Ginga Ultimate Zero: Battle Spirits,6.5,"Game, Adventure, Space",TV,49,Fall 2013,Sunrise,PG - Children,1420,3
Ore wa Chokkaku,Unknown,Comedy,TV,36,Winter 1991,Studio Pierrot,Unknown,335,0
Wei Qi Shao Nian 2,Unknown,"Game, Historical",TV,26,Unknown,Unknown,Unknown,251,1
Super Seisyun Brothers,6.78,"Comedy, Josei, Slice of Life",TV,14,Fall 2013,AIC PLUS+,PG-13 - Teens 13 or older,27895,38
Nobunagun,6.71,"Action, Sci-Fi, Super Power",TV,13,Winter 2014,Bridge,R - 17+ (violence & profanity),59431,126
Gaist Crusher,5.86,"Action, Fantasy, Supernatural",TV,51,Fall 2013,Studio Pierrot,PG - Children,2020,6
Marude Dameo,Unknown,"Comedy, Sci-Fi, Shounen",TV,47,Fall 1991,Studio Pierrot,Unknown,263,1
Robotan,Unknown,"Comedy, Kids",TV,104,Fall 1966,Unknown,G - All Ages,350,0
Battle Spirits: Sword Eyes Gekitouden,6.77,"Game, Adventure, Fantasy",TV,21,Spring 2013,Sunrise,PG - Children,1375,1
Donkikko,Unknown,"Comedy, Shounen",TV,21,Fall 1967,Unknown,Unknown,252,0
Tesagure! Bukatsumono,6.75,"Parody, School, Slice of Life",TV,12,Fall 2013,Yaoyorozu,PG-13 - Teens 13 or older,10574,51
Barbapapa (1977),5.97,"Comedy, Kids, Fantasy",TV,48,Spring 1977,Topcraft,PG - Children,598,1
Shisukon Ouji,Unknown,Adventure,TV,14,Winter 1964,Unknown,PG - Children,249,0
Uchuujin Pipi,Unknown,Kids,TV,52,Spring 1965,Unknown,PG - Children,203,0
Kaitou Pride,Unknown,"Kids, Adventure, Comedy",TV,105,Spring 1965,Unknown,G - All Ages,224,0
Tatakae! Osper,Unknown,"Action, Sci-Fi, Shounen",TV,52,Winter 1966,Unknown,PG-13 - Teens 13 or older,289,0
Tobidase! Bacchiri,Unknown,"Comedy, Kids, Mystery",TV,132,Fall 1966,Unknown,PG - Children,227,0
